,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
2666,1984.07.01,01-Jul-84,1984,USA,,,M,30,N
2667,1984.07.00.a,Jul-84,1984,SOUTH AFRICA,Sodwana,Fishing/Spearfishing,M,,N
2668,1984.06.15,15-Jun-84,1984,SOUTH AFRICA,"Muizenberg, False Bay",Swimming/Surfing/Boogie Boarding,M,27,N
2669,1984.06.03.b,03-Jun-84,1984,USA,"Kane'ohe Bay, O'ahu",,F,13,N
2670,1984.06.03,03-Jun-84,1984,VANUATU,"Atchin Island, off Malakula",Swimming/Surfing/Boogie Boarding,M,20s,Y
2671,1984.05.31,31-May-84,1984,SOUTH AFRICA,Arniston,Fishing/Spearfishing,M,28,N
2672,1984.03.17,17-Mar-84,1984,SOMALIA,,Sea Disaster/Murder,M,,Y
2673,1984.03.14,14-Mar-84,1984,SOUTH AFRICA,Amanzimtoti,Swimming/Surfing/Boogie Boarding,M,,N
2674,1984.03.10,10-Mar-84,1984,SOUTH AFRICA,Swartkops River mouth,Kayaking/Canoeing/Rowing,M,,N
2675,1984.03.01,01-Mar-84,1984,AUSTRALIA,Coral Bay,,Unknown,,U
2676,1984.02.18,18-Feb-84,1984,SOUTH AFRICA,"Paradise Beach, Jeffreys Bay",Fishing/Spearfishing,M,,N
2677,1984.02.17,17-Feb-84,1984,SOUTH AFRICA,"Shark tank at Oceanographic Research Insitute, Durban",Diving/Scuba Diving/Freediving,M,33,N
2678,1984.02.12,12-Feb-84,1984,SOUTH AFRICA,St. Georges Strand,,Unknown,,Y
2679,1984.02.11,11-Feb-84,1984,AUSTRALIA,Derwent Island,Fishing/Spearfishing,M,27,N
2680,1984.01.05,05-Jan-84,1984,SOUTH AFRICA,Port Alfred,Swimming/Surfing/Boogie Boarding,M,14,N
2681,1984.01.04,04-Jan-84,1984,SOUTH AFRICA,Umlaas Canal,,F,14,Y
2682,1984.00.00.b,1984,1984,USA,San Francisco,,M,,N
2683,1984.00.00.a,1984,1984,USA,"Indiatlantic, Brevard County",Swimming/Surfing/Boogie Boarding,M,,N
2684,1983.12.30,30-Dec-83,1983,GREECE,,Fishing/Spearfishing,M,36,Y
2685,1983.12.25,25-Dec-83,1983,USA,"Riviera Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,17,N
2686,1983.12.24,24-Dec-83,1983,AUSTRALIA,"Dangerous Reef, South Neptune Island",,M,48,N
2687,1983.12.22,22-Dec-83,1983,SOUTH AFRICA,Great Fish River,Swimming/Surfing/Boogie Boarding,M,16,N
2688,1983.12.21,21-Dec-83,1983,SOUTH AFRICA,Nahoon,Swimming/Surfing/Boogie Boarding,M,47,N
2689,1983.12.07,07-Dec-83,1983,SOUTH AFRICA,LaMercy,,M,,N
2690,1983.11.21,21-Nov-83,1983,PHILIPPINES,,,M,,N
2691,1983.11.10.R,Reported      10-Nov-1983,1983,USA,"Melbourne Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,15,N
2692,1983.11.10,10-Nov-83,1983,SOUTH AFRICA,Tongaat,Swimming/Surfing/Boogie Boarding,F,,Y
2693,1983.10.17.a,17-Oct-83,1983,USA,"Stuart Beach, Martin County",Swimming/Surfing/Boogie Boarding,M,16,N
2694,1983.10.13,13-Oct-83,1983,USA,"Daytona Beach, Volusia County",Standing/Wading/Walking,M,20,N
2695,1983.09.04,04-Sep-83,1983,USA,"Off Lake Worth, Palm Beach County",Standing/Wading/Walking,M,15,N
2696,1983.08.20.b,20-Aug-83,1983,USA,"Cape Kiwanda,Tillamook County",Swimming/Surfing/Boogie Boarding,M,,N
2697,1983.08.20.a,20-Aug-83,1983,SOUTH AFRICA,"Seal Island, False Bay",Fishing/Spearfishing,M,29,N
2698,1983.08.15,15-Aug-83,1983,USA,"Virginia Beach, Princess Anne County",Swimming/Surfing/Boogie Boarding,F,14,N
2699,1983.08.13.b,13-Aug-83,1983,USA,"Riviera Beach, Palm Beach County",Diving/Scuba Diving/Freediving,M,14,N
2700,1983.08.13.a,13-Aug-83,1983,USA,"6 miles south of Boca Chica Key, Monroe County ",Diving/Scuba Diving/Freediving,F,22,N
2701,1983.08.06,06-Aug-83,1983,USA,,Fishing/Spearfishing,Unknown,,N
2702,1983.07.26,26-Jul-83,1983,AUSTRALIA,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",,F,21,Y
2703,1983.07.25.b,25-Jul-83,1983,AUSTRALIA,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",,M,24,Y
2704,1983.07.25.a,25-Jul-83,1983,AUSTRALIA,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",,M,28,N
2705,1983.07.15,15-Jul-83,1983,SOUTH AFRICA,"Seal Point, Cape St. Francis",Swimming/Surfing/Boogie Boarding,M,,N
2706,1983.07.12.b,12-Jul-83,1983,USA,"Caloosahatchee River, Lee County",Swimming/Surfing/Boogie Boarding,F,39,N
2707,1983.07.12.a,08-Jul-83,1983,BAHAMAS,Green Turtle Cay,Fishing/Spearfishing,M,13,N
2708,1983.07.05,05-Jul-83,1983,USA,"Riviera Beach, Palm Beach County",,Unknown,17,N
2709,1983.06.29,29-Jun-83,1983,USA,"Off 12th Street, Miami Beach",Swimming/Surfing/Boogie Boarding,M,42,N
2710,1983.06.22,22-Jun-83,1983,BAHAMAS,"Off Sandy Point, Great Abaco Island",Fishing/Spearfishing,M,15,Y
2711,1983.06.20,20-Jun-83,1983,USA,"Cocoa Beach, Brevard County",,M,21,N
2712,1983.06.15,15-Jun-83,1983,BAHAMAS,Carter Cay,,M,30,N
2713,1983.06.15,15-Jun-83,1983,ITALY,Riomaggiore (Ligura),Diving/Scuba Diving/Freediving,M,,N
2714,1983.06.00,Jun-83,1983,BAHAMAS,Whale Cay,Fishing/Spearfishing,M,,N
2715,1983.05.31,31-May-83,1983,USA,"Intracoastal Waterway, Boca Raton, Palm Beach County",,M,21,N
2716,1983.05.24,24-May-83,1983,USA," Riviera Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,15,N
2717,1983.05.21,21-May-83,1983,USA,"Haulover Inlet, Dade County",Swimming/Surfing/Boogie Boarding,M,22,N
2718,1983.04.19,19-Apr-83,1983,USA,,Swimming/Surfing/Boogie Boarding,M,,U
2719,1983.04.12,12-Apr-83,1983,SOUTH AFRICA,Bonza Bay,Fishing/Spearfishing,M,27,N
2720,1983.04.02.b,02-Apr-83,1983,USA,"Lake Worth Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,16,N
2721,1983.04.02.a,02-Apr-83,1983,SOUTH AFRICA,Mpande,,M,,N
2722,1983.03.30.a,30-Mar-83,1983,SOUTH AFRICA,Scottburgh,Fishing/Spearfishing,M,17,N
2723,1983.03.22,22-Mar-83,1983,SOUTH AFRICA,Nahoon,Swimming/Surfing/Boogie Boarding,M,,N
2724,1983.03.10,10-Mar-83,1983,USA,"Juno Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,,N
2725,1983.03.00,Mar-83,1983,NEW CALEDONIA,"We, Lifou",,Unknown,,N
2726,1983.02.20,20-Feb-83,1983,SOUTH AFRICA,Mtunzini,,M,16,N
2727,1983.01.24,24-Jan-83,1983,USA,60 miles southeast of Beaufort,Fishing/Spearfishing,M,43,N
2728,1983.01.15,15-Jan-83,1983,SOUTH AFRICA,Amanzimtoti,,M,,Y
2729,1983.01.10,10-Jan-83,1983,SOUTH AFRICA,Muizenberg,Swimming/Surfing/Boogie Boarding,M,22,N
2730,1983.01.08,08-Jan-83,1983,SOUTH AFRICA,Holbaai,Fishing/Spearfishing,M,32,N
2731,1983.00.00.d,Ca. 1983,1983,UNKNOWN,,Swimming/Surfing/Boogie Boarding,M,,N
2732,1983.00.00.c,1983,1983,VANUATU,"Off the beach opposite Atchin Island, Malakula",,M,,Y
2733,1983.00.00.b,1983,1983,USA,,Fishing/Spearfishing,M,,N
2734,1982.11.00,Nov-82,1982,USA,"Isle of Palms, Charleston County",,M,,N
2735,1982.10.13,13-Oct-82,1982,USA,North Dade- Interama area of Biscayne Bay,Swimming/Surfing/Boogie Boarding,M,26,N
2736,1982.09.30.b,30-Sep-82,1982,SOUTH AFRICA,"Nahoon, East London",Swimming/Surfing/Boogie Boarding,M,16,N
2737,1982.09.30.a,30-Sep-82,1982,SOUTH AFRICA,"Nahoon, East London",Swimming/Surfing/Boogie Boarding,M,16,N
2738,1982.09.27,27-Sep-82,1982,USA,"Patrick Air Force Base, Brevard County",Swimming/Surfing/Boogie Boarding,M,20,N
2739,1982.09.25,25-Sep-82,1982,USA,"Monastery Beach, Carmel Bay, Monterey County",Diving/Scuba Diving/Freediving,M,36,N
2740,1982.09.19,19-Sep-82,1982,USA,"Bear Harbor, Mendocino County",,M,28,N
2741,1982.09.04,04-Sep-82,1982,USA,"Hollywood Beach, Broward County",,M,mid-20s,Y
2742,1982.08.29.c,29-Aug-82,1982,JAPAN,Ariake Bay,,M,,Y
2743,1982.08.29.b,29-Aug-82,1982,USA,"Morro Rock, Morro Bay, San Obispo County",Swimming/Surfing/Boogie Boarding,M,17,N
2744,1982.08.29.a,29-Aug-82,1982,SOUTH AFRICA,Langebaan,Swimming/Surfing/Boogie Boarding,F,18,N
2745,1982.08.00,Late Aug-1982,1982,TUNISIA,"Skanes, near Monaster",Swimming/Surfing/Boogie Boarding,M,,N
2746,1982.07.31,31-Jul-82,1982,SOUTH AFRICA,Amanzimtoti,Swimming/Surfing/Boogie Boarding,M,20,N
2747,1982.07.24.b,24-Jul-82,1982,SOUTH AFRICA,"Nahoon, East London",,M,38,N
2748,1982.07.24.a,24-Jul-82,1982,USA,"Point Buchon, San Luis Obispo County",Kayaking/Canoeing/Rowing,M,26,N
2749,1982.07.19,19-Jul-82,1982,USA,"Stuart Beach, Martin County ",Swimming/Surfing/Boogie Boarding,M,17,N
2750,1982.07.11, 11-Jul-1982,1982,USA,"Malibu, Los Angeles County",Swimming/Surfing/Boogie Boarding,M,43,N
2751,1982.07.01,01-Jul-82,1982,USA,"Daytona Beach, Volusia County",Swimming/Surfing/Boogie Boarding,F,19,N
2752,1982.07.00,Jul-82,1982,NEW CALEDONIA,"Sarcelle, Isle of Pines",,Unknown,,N
2753,1982.06.29,29-Jun-82,1982,SOUTH AFRICA,Ntlonyana Bay,Swimming/Surfing/Boogie Boarding,M,27,Y
2754,1982.06.26.b,26-Jun-82,1982,USA,"Isle of Palms, Charleston County",Swimming/Surfing/Boogie Boarding,M,20,N
2755,1982.06.26.a,26-Jun-82,1982,BAHAMAS,North Rat Cay Reef,Fishing/Spearfishing,M,19,N
2756,1982.06.25,  25-Jun-1982,1982,USA,"Ormond Beach / Daytona Beach, Volusia County",,F,8,N
2757,1982.06.13,13-Jun-82,1982,USA,"Ho'okipa Beach, Pa'ia, Maui",,M,,N
2758,1982.05.00,May-82,1982,USA,"Daws Island, Broad River (near Beaufort)",,F,Ca. 33,Y
2759,1982.03.10,10-Mar-82,1982,USA,"Palm Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,16,N
2760,1982.03.07,07-Mar-82,1982,AUSTRALIA,"Tallow Beach, Byron Bay",Swimming/Surfing/Boogie Boarding,M,20,Y
2761,1982.03.00,Mar-82,1982,NEW CALEDONIA,,Fishing/Spearfishing,Unknown,,N
2762,1982.02.28,28-Feb-82,1982,AUSTRALIA,South Cape Bay,Fishing/Spearfishing,M,32,Y
2763,1982.02.27,27-Feb-82,1982,USA,"Hobe Sound, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,18,N
2764,1982.02.17,17-Feb-82,1982,SOUTH AFRICA,Mossel Bay,Fishing/Spearfishing,M,,N
2765,1982.02.14.b,14-Feb-82,1982,USA,"White Plains Beach, Barbers Point, O'ahu",Standing/Wading/Walking,F,,N
2766,1982.02.14.a,14-Feb-82,1982,USA,"White Plains Beach, Barbers Point, O'ahu",Swimming/Surfing/Boogie Boarding,F,,N
2767,1982.02.13,13-Feb-82,1982,USA,"Palm Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,F,75,Y
2768,1982.02.07.a,07-Feb-82,1982,USA,"Stillwater Cove, Sonoma County",,M,,N
2769,1982.02.07..b,07-Feb-82,1982,USA,Elliot Key,Diving/Scuba Diving/Freediving,M,29,Y
2770,1982.01.29,29-Jan-82,1982,SOUTH AFRICA,Mpekeweni,Swimming/Surfing/Boogie Boarding,M,20,N
2771,1982.00.00.c,1982,1982,ITALY,"Lacona, Isola d'Elba",,M,,U
2772,1982.00.00.b,1982,1982,ITALY,"Biodola, Isola d'Elba",,M,,N
2773,1982.00.00.a,1982,1982,TUNISIA,Bechateur,Fishing/Spearfishing,Unknown,,U
2774,1981.12.19,19-Dec-81,1981,USA,"South Moss Beach, Spanish Bay, Monterey Peninsula",Swimming/Surfing/Boogie Boarding,M,24,Y
2775,1981.12.13.b,13-Dec-81,1981,AUSTRALIA,Green Island,,Unknown,,N
2776,1981.12.13.a,13-Dec-81,1981,USA,"Nimitz Beach, Barbers Point, O'ahu",,M,,N
2777,1981.11.30,30-Nov-81,1981,REUNION,Vicendo,Fishing/Spearfishing,M,,N
2778,1981.10.19.b,19-Oct-81,1981,SOUTH AFRICA,Mossel Bay,,M,,N
2779,1981.11.09,09-Nov-81,1981,USA,"La'au Point, Moloka'i",,M,59,N
2780,1981.10.19.a,19-Oct-81,1981,USA,"Jupiter Island, Brevard County",Swimming/Surfing/Boogie Boarding,M,19,N
2781,1981.10.17,17-Oct-81,1981,USA,"Palm Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,,U
2782,1981.10.16,16-Oct-81,1981,USA,"Cocoa Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,17,N
2783,1981.10.01,01-Oct-81,1981,USA,"Playalinda Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,24,N
2784,1981.09.28,28-Sep-81,1981,USA,"Cocoa Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,28,N
2785,1981.09.27,27-Sep-81,1981,USA,"Melbourne Beach, Brevard County",Swimming/Surfing/Boogie Boarding,Unknown,,N
2786,1981.09.15,15-Sep-81,1981,USA,"Tampa Bay, Manatee County",Swimming/Surfing/Boogie Boarding,M,26,Y
2787,1981.09.03.b,03-Sep-81,1981,USA,"Patrick Air Force Base, Brevard County",Swimming/Surfing/Boogie Boarding,M,25,N
2788,1981.09.03.a,03-Sep-81,1981,USA,"Cocoa Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,24,N
2789,1981.08.29,29-Aug-81,1981,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,15,N
2790,1981.08.24.b,24-Aug-81,1981,USA,Gulf Island National Seashore Park,Fishing/Spearfishing,M,19,N
2791,1981.08.24.a,24-Aug-81,1981,USA,"Keaukaha, Hilo, Hawai'i",Fishing/Spearfishing,M,,Y
2792,1981.08.10.b,10-Aug-81,1981,USA,"Marathon, Monroe County",Diving/Scuba Diving/Freediving,M,,N
2793,1981.08.10.a,10-Aug-81,1981,USA,"Ormond Beach / Daytona Beach, Volusia County",,F,19,Y
2794,1981.08.07,07-Aug-81,1981,BAHAMAS,"Gingerbread Reef, east of Little Isaac Island ",,M,53,N
2795,1981.07.20,20-Jul-81,1981,USA,"St. Petersburg Beach, Pinellas County",Swimming/Surfing/Boogie Boarding,F,16,N
2796,1981.07.18,18-Jul-81,1981,SOUTH AFRICA,Nahoon,Swimming/Surfing/Boogie Boarding,M,32,N
2797,1981.07.07,07-Jul-81,1981,USA,Carter Cay,Fishing/Spearfishing,M,,N
2798,1981.07.01,01-Jul-81,1981,SOUTH AFRICA,Clansthal,,M,,N
2799,1981.06.15.R,Reported 15-Jun-1981,1981,UNITED KINGDOM,Isle of Wight,Fishing/Spearfishing,M,,N
2800,1981.06.12,12-Jun-81,1981,USA,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",,M,,Y
2801,1981.05.24,24-May-81,1981,USA,"Ha'ena Beach Park, Kaua'i",,M,,Y
2802,1981.05.23,23-May-81,1981,SOUTH KOREA,Wae-yeon Island,,F,27,Y
2803,1981.05.20,20-May-81,1981,SOUTH AFRICA,Nahoon,Swimming/Surfing/Boogie Boarding,M,27,N
2804,1981.05.19,19-May-81,1981,USA,"Sands Cut, Elliot Key",Diving/Scuba Diving/Freediving,M,32,N
2805,1981.05.16,16-May-81,1981,USA,"Jacksonville, Duval County",Diving/Scuba Diving/Freediving,M,,N
2806,1981.05.10,10-May-81,1981,SOUTH AFRICA,Kings Beach,Swimming/Surfing/Boogie Boarding,M,19,N
2807,1981.05.07,07-May-81,1981,NAMIBIA,Walvis Bay,,M,,N
2808,1981.03.08,08-Mar-81,1981,BERMUDA,,,Unknown,,N
2809,1981.05.05,05-May-81,1981,SOUTH AFRICA,Ntlonyane Bay,Swimming/Surfing/Boogie Boarding,M,24,N
2810,1981.03.25,25-Mar-81,1981,USA,"Singer Island, Riviera Beach, Palm Beach County",,M,19,N
2811,1981.03.24,24-Mar-81,1981,USA,"Singer Island, Riviera Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,24,N
2812,1981.03.04,04-Mar-81,1981,CHILE,"Bahia Totoralillo, 80  km north of Coquimbo",,M,,N
2813,1981.03.00,Mar-81,1981,BRAZIL,Cabo Frio,Diving/Scuba Diving/Freediving,Unknown,,U
2814,1981.02.19,19-Feb-81,1981,SOUTH AFRICA,Umtentweni,Swimming/Surfing/Boogie Boarding,M,30,N
2815,1981.02.16,16-Feb-81,1981,AUSTRALIA,"Leighton Beach, north of Freemantle",,M,,N
2816,1981.02.07,07-Feb-81,1981,AUSTRALIA,"Parker's Point, Rottnest Island",,Unknown,,U
2817,1981.02.02,02-Feb-81,1981,USA,"Juno Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,15,N
2818,1981.02.00,Feb-81,1981,BRAZIL,Cabo Frio,Fishing/Spearfishing,Unknown,,N
2819,1981.01.30,30-Jan-81,1981,USA,20 miles from Mayport,,M,25,N
2820,1981.01.01,01-Jan-81,1981,SOUTH AFRICA,Widenham,Swimming/Surfing/Boogie Boarding,M,23,Y
2821,1981.00.00.b,1981,1981,AUSTRALIA,Byron Bay,Kayaking/Canoeing/Rowing,M,27,N
2822,1981.00.00.a,Summer of 1981,1981,GREECE,,,M,,N
2823,1980.12.30,12-30-1980,1980,SOUTH AFRICA,Nahoon,,M,25,N
2824,1980.12.26,26-Dec-80,1980,SOUTH AFRICA,Port Elizabeth,,M,,Y
2825,1980.11.24,24-Nov-80,1980,REUNION,Petite-Ile,Fishing/Spearfishing,M,22,N
2826,1980.11.18,18-Nov-80,1980,AUSTRALIA,Lancelin,Swimming/Surfing/Boogie Boarding,M,,N
2827,1980.11.17,17-Nov-80,1980,SOUTH AFRICA,Mnini,Swimming/Surfing/Boogie Boarding,M,,Y
2828,1980.11.11.,11-Nov-80,1980,BRAZIL,Piedade,Swimming/Surfing/Boogie Boarding,M,16,Y
2829,1980.10.27,27-Oct-80,1980,USA,Off Umpqua River,Swimming/Surfing/Boogie Boarding,M,29,N
2830,1980.10.17,17-Oct-80,1980,USA,"Moonstone Beach, Humboldt County",Swimming/Surfing/Boogie Boarding,M,19,N
2831,1980.08.22.R,Reported 22-Aug-1980,1980,MEXICO,,,M,22,Y
2832,1980.08.10,10-Aug-80,1980,USA,"Ocean Isle, Brunswick County",Standing/Wading/Walking,F,10,N
2833,1980.08.04,04-Aug-80,1980,USA,"Puamana, Lahaina, Maui",,M,,N
2834,1980.07.26,26-Jul-80,1980,SPAIN,"San Juan de la Rambla, Tenerife",,M,,N
2835,1980.07.27,27-Jul-80,1980,USA,"Ocean City, Cape May County",Swimming/Surfing/Boogie Boarding,M,15,N
2836,1980.07.23,23-Jul-80,1980,USA,Dewey Beach,Standing/Wading/Walking,F,22,N
2837,1980.07.00,Late Jul-1980,1980,USA,"Emerald Isle Pier (near Morehead City), Carteret County",Swimming/Surfing/Boogie Boarding,M,,N
2838,1980.07.00,Early Jul-1980,1980,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,,N
2839,1980.06.26,26-Jun-80,1980,USA,"Off San Clemente Island, Los Angeles County",Diving/Scuba Diving/Freediving,F,44,N
2840,1980.05.15,15-May-80,1980,SOUTH AFRICA,Fullers Bay,Swimming/Surfing/Boogie Boarding,M,22,N
2841,1980.04.25,25-Apr-80,1980,JAMAICA,"Priestman's River area, East Portland",Fishing/Spearfishing,M,,N
2842,1980.04.22,22-Apr-80,1980,PHILIPPINES,"Maestre de Campo Island, 120 miles south of Manila",,Unknown,,Y
2843,1980.04.00,Apr-80,1980,MEXICO,Mazatlán,Swimming/Surfing/Boogie Boarding,F,13,N
2844,1980.03.29,29-Mar-80,1980,SOUTH AFRICA,Umdhloti,Diving/Scuba Diving/Freediving,M,52,Y
2845,1980.03.28,28-Mar-80,1980,BRAZIL,"Copacabana Beach, Rio de Janiero",Swimming/Surfing/Boogie Boarding,M,,N
2846,1980.03.15,15-Mar-80,1980,PHILIPPINES,250 miles southwest of Manila,,F,,Y
2847,1980.03.11,11-Mar-80,1980,SOUTH AFRICA,Velddrif,Fishing/Spearfishing,M,61,N
2848,1980.01.31,31-Jan-80,1980,SOUTH AFRICA,Ballito,Swimming/Surfing/Boogie Boarding,M,24,N
2849,1980.01.25,25-Jan-80,1980,KENYA,South of Lamu Island,Fishing/Spearfishing,M,29,N
2850,1980.01.15,15-Jan-80,1980,SOUTH AFRICA,Ansteys,Fishing/Spearfishing,M,29,N
2851,1980.01.13,13-Jan-80,1980,SOUTH AFRICA,Sardinia Bay,Swimming/Surfing/Boogie Boarding,M,,N
2852,1980.01.10,10-Jan-80,1980,SOUTH AFRICA,Kings Beach,Swimming/Surfing/Boogie Boarding,M,25,N
2853,1980.01.05,05-Jan-80,1980,CHILE,"Punta Negra, Pichidangui",,M,,Y
2854,1980.00.00.d,Summer 1980,1980,NORTH ATLANTIC OCEAN,Onboard swordfish trawler,,M,34,N
2855,1980.00.00.c,1980s ,1980,GREECE,,Swimming/Surfing/Boogie Boarding,M,,N
2856,1980.00.00.b,1980,1980,SOUTH AFRICA,Bonza Bay,Fishing/Spearfishing,M,20,N
2857,1980.00.00.a,1980s ,1980,TONGA,Ha'ano Island,Fishing/Spearfishing,M,20s,N
2858,1979.12.21,21-Dec-79,1979,SOUTH AFRICA,Kenton-on-Sea,Swimming/Surfing/Boogie Boarding,M,18,N
2859,1979.12.00,05-Dec-79,1979,PORTUGAL,"Sao Jorge, Madeira Island",Fishing/Spearfishing,M,19,Y
2860,1979.12.01, 01-Dec-1979,1979,SOUTH CHINA SEA,,Diving/Scuba Diving/Freediving,M,32,N
2861,1979.11.27,27-Nov-79,1979,USA,"Haystack Rock, Cannon Beach, Clatsop County",Swimming/Surfing/Boogie Boarding,M,20,N
2862,1979.11.12,12-Nov-79,1979,SOUTH AFRICA,Macassar,Fishing/Spearfishing,Unknown,,N
2863,1979.10.22,22-Oct-79,1979,SOUTH AFRICA,Algoa Bay,Fishing/Spearfishing,M,,N
2864,1979.09.14,14-Sep-79,1979,AUSTRALIA,Byron Bay,Diving/Scuba Diving/Freediving,M,18,N
2865,1979.08.28,28-Aug-79,1979,HONG KONG,Mirs Bay,,M,21,Y
2866,1979.08.26,26-Aug-79,1979,HONG KONG,,,M,16,Y
2867,1979.08.05,05-Aug-79,1979,USA,"Daytona Beach, Volusia County",Kayaking/Canoeing/Rowing,M,49,N
2868,1979.08.03,03-Aug-79,1979,THAILAND,,,M,,Y
2869,1979.06.19,19-Jun-79,1979,USA,10 miles off Cape Canaveral,,M,56,N
2870,1979.05.27,27-May-79,1979,USA,"Fort Walton Beach, Okaloosa County",Diving/Scuba Diving/Freediving,M,36,Y
2871,1979.05.05,05-May-79,1979,SOUTH AFRICA,"Hangklip, False Bay",Fishing/Spearfishing,M,25,N
2872,1979.05.03,03-May-79,1979,SOUTH AFRICA,Mbibi,Diving/Scuba Diving/Freediving,M,,Y
2873,1979.05.00.c,May-79,1979,NEW CALEDONIA,Ile Yandé (between Poum and Bélep),Fishing/Spearfishing,Unknown,,N
2874,1979.05.00.b,May-79,1979,NEW CALEDONIA,Balade,,M,,Y
2875,1979.04.08.b,08-Apr-79,1979,USA,"Public Beach (Carlin Park), Jupiter, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,24,N
2876,1979.04.08.a,08-Apr-79,1979,USA,"Municipal Beach, Boyton Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,8,N
2877,1979.03.24,24-Mar-79,1979,USA,"Singer Island, Riviera Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,27,N
2878,1979.03.11,11-Mar-79,1979,USA,"Ano Nuevo Island, San Mateo, County",,M,,N
2879,1979.03.01,01-Mar-79,1979,SOUTH AFRICA,Seal Island,,Unknown,,N
2880,1979.03.00,Mar-79,1979,NEW CALEDONIA,"Five Mile Beach, I'le Ouen",Fishing/Spearfishing,M,,Y
2881,1979.02.21,21-Feb-79,1979,SOUTH AFRICA,Port Alfred,,M,19,N
2882,1979.00.00,1979,1979,USA,"South Kohala, Hawai'i",Fishing/Spearfishing,M,,Y
2883,1978.12.29,29-Dec-78,1978,AUSTRALIA,Bribie Island,,M, ,N
2884,1978.12.12,12-Dec-78,1978,SOUTH AFRICA,Sodwana,Fishing/Spearfishing,M,23,Y
2885,1978.11.26,26-Nov-78,1978,USA,"Ewa, O'ahu",Swimming/Surfing/Boogie Boarding,M,,N
2886,1978.11.23,23-Nov-78,1978,USA,"Jupiter, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,17,N
2887,1978.10.21,21-Oct-78,1978,SOUTH AFRICA,"Fishing camp, St. Lucia Estuary",Fishing/Spearfishing,M,,Y
2888,1978.09.27,27-Sep-78,1978,SOUTH AFRICA,"Miller's Point, False Bay",Fishing/Spearfishing,M,27,N
2889,1978.09.16,16-Sep-78,1978,ITALY,Capo d'Anzio,Diving/Scuba Diving/Freediving,M,,N
2890,1978.09.02.R,Reported 02-Sep-1978,1978,AUSTRALIA,"Cape Pillar, Storm Bay",,M,34,N
2891,1978.08.05,05-Aug-78,1978,USA,"Pajaro Dunes, Santa Cruz County",Standing/Wading/Walking,M,,N
2892,1978.08.01.R,Reported 01-Aug-1978,1978,USA,Florida Straits,,M,27,N
2893,1978.07.27,27-Jul-78,1978,USA,,,M,39,N
2894,1978.07.19,19-Jul-78,1978,USA,"Newport Beach, Orange County",Fishing/Spearfishing,M,27,N
2895,1978.06.21.b,21-Jun-78,1978,USA,"South of Neptune Beach, Duval County",Swimming/Surfing/Boogie Boarding,M,20,N
2896,1978.06.21.a,21-Jun-78,1978,USA,"Neptune Beach, Duval County",Swimming/Surfing/Boogie Boarding,M,17,N
2897,1978.06.07,07-Jun-78,1978,ITALY,Acqua alta research platform,,Unknown,,N
2898,1978.04.02.b,02-Apr-78,1978,MARSHALL ISLANDS,Enewetak Atoll,Diving/Scuba Diving/Freediving,M,25,N
2899,1978.04.02.a,02-Apr-78,1978,MARSHALL ISLANDS,Enewetak Atoll,Diving/Scuba Diving/Freediving,M,23,N
2900,1978.04.00,Apr-1978`,1978,AUSTRALIA,Beechford,Diving/Scuba Diving/Freediving,M,,N
2901,1978.03.05,05-Mar-78,1978,SOUTH AFRICA,"Gulu Deep, East London",,Unknown,,N
2902,1978.02.28,28-Feb-78,1978,SOUTH AFRICA,"Seal Island, False Bay",Fishing/Spearfishing,Unknown,,N
2903,1978.02.19,19-Feb-78,1978,SOUTH AFRICA,"Miller's Point, False Bay",Diving/Scuba Diving/Freediving,M,,N
2904,1978.01.17,07-Jan-78,1978,SOUTH AFRICA,Glenashley,Swimming/Surfing/Boogie Boarding,M,17,N
2905,1978.01.06,06-Jan-78,1978,SOUTH AFRICA,Cape Vidal,,M,,Y
