,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
2472,1989.01.20.b,20-Jan-89,1989,USA,"Waialua Beach, Moloka'i",Swimming/Surfing/Boogie Boarding,M,10,N
2473,1989.01.20.a,20-Jan-89,1989,SOUTH AFRICA,Isipingo,,M,19,N
2474,1989.01.08,08-Jan-89,1989,USA,"Wailua, Kaua'i",,M,,Y
2475,1989.01.03,03-Jan-89,1989,AUSTRALIA,"Half Tide Beach, Evans Head",,M,17,N
2476,1989.00.00.b,1989,1989,PAPUA NEW GUINEA,Kavieng,,F,,N
2477,1989.00.00.a,1989,1989,USA,"Coral Gardens Reef, 6 miles SSE of Chicoteague Inlet",,M,,N
2478,1988.12.15,15-Dec-88,1988,CHILE,Valpariso,Diving/Scuba Diving/Freediving,M,,Y
2479,1988.11.08,08-Nov-88,1988,AUSTRALIA,"Off North Keppel Island, off Yeppoon",,M,17,Y
2480,1988.11.07,07-Nov-88,1988,AUSTRALIA,"Off North Keppel Island, off Yeppoon",,M,62,Y
2481,1988.10.24,24-Oct-88,1988,PHILIPPINES,,,Unknown,,Y
2482,1988.10.23,23-Oct-88,1988,USA,"Indian Beach, Ecola State Park, just north of Cannon Beach, Clatsop County ",Swimming/Surfing/Boogie Boarding,M,21,N
2483,1988.10.22,22-Oct-88,1988,AUSTRALIA,Phillip Island,Swimming/Surfing/Boogie Boarding,M,38,N
2484,1988.10.14,14-Oct-88,1988,USA,"Boca Raton, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,15,N
2485,1988.10.11,11-Oct-88,1988,USA,"Fort Pierce, St. Lucie County ",Swimming/Surfing/Boogie Boarding,M,30,N
2486,1988.10.10,10-Oct-88,1988,USA,"Playalinda, Brevard County",Swimming/Surfing/Boogie Boarding,M,23,N
2487,1988.10.06,06-Oct-88,1988,AUSTRALIA,Moama Beach,Swimming/Surfing/Boogie Boarding,M,15,N
2488,1988.10.00,Oct-88,1988,USA,"Sanibel Island, Lee County",Standing/Wading/Walking,F,23,N
2489,1988.09.28,28-Sep-88,1988,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,21,N
2490,1988.09.13.b,13-Sep-88,1988,USA,"Shell Island Panama City Beach, Bay County",Standing/Wading/Walking,F,,N
2491,1988.09.13.a,13-Sep-88,1988,USA,"Shell Island Panama City Beach, Bay County",Diving/Scuba Diving/Freediving,M,38,Y
2492,1988.08.22.b,22-Aug-88,1988,USA,New Orleans,,M,,N
2493,1988.08.22.a,22-Aug-88,1988,ITALY,Ippocampo,,M,16,N
2494,1988.08.19,19-Aug-88,1988,JAPAN,Ogasawara Islands,,M,,N
2495,1988.08.11,11-Aug-88,1988,USA,"Klamath River, Del Norte County",Swimming/Surfing/Boogie Boarding,M,27,N
2496,1988.07.23,23-Jul-88,1988,BAHAMAS,,,M,,N
2497,1988.07.19,19-Jul-88,1988,BAHAMAS,,Fishing/Spearfishing,M,28,N
2498,1988.07.17,17-Jul-88,1988,BAHAMAS,,Diving/Scuba Diving/Freediving,M,35,N
2499,1988.07.11,11-Jul-88,1988,USA,"Jensen Beach, Martin County",Swimming/Surfing/Boogie Boarding,F,15,N
2500,1988.07.04.b,04-Jul-88,1988,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,37,N
2501,1988.07.04.a,04-Jul-88,1988,BAHAMAS,,Diving/Scuba Diving/Freediving,M,,N
2502,1988.07.00,Jul-88,1988,BAHAMAS,,Fishing/Spearfishing,M,,N
2503,1988.06.19,16-Jun-88,1988,SOUTH AFRICA,Sculphoek,Fishing/Spearfishing,M,36,N
2504,1988.06.16,16-Jun-88,1988,USA,"Ocracoke, Hyde County",Diving/Scuba Diving/Freediving,M,42,N
2505,1988.06.09,09-Jun-88,1988,USA,"Sea Pines Beach Club, Hilton Head, Beaufort County",,M,37,N
2506,1988.06.05,05-Jun-88,1988,USA,"Daytona Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,12,N
2507,1988.06.01,01-Jun-88,1988,USA,"Daytona Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,25,N
2508,1988.05.27,27-May-88,1988,SOUTH KOREA,,,F,38,Y
2509,1988.05.10,10-May-88,1988,USA,"Paradise Beach Park, Brevard County",Swimming/Surfing/Boogie Boarding,M,31,N
2510,1988.05.04,04-May-88,1988,USA,"Melbourne Beach, Brevard County",,M,29,N
2511,1988.04.28,28-Apr-88,1988,REUNION,Embouchure de l'étang du Gol,,M,,Y
2512,1988.04.24,24-Apr-88,1988,USA,"North of Morro Rock, San Luis Obispo County",Swimming/Surfing/Boogie Boarding,M,,N
2513,1988.04.15a,15-Apr-88,1988,USA,"Singer Island, Riviera Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,24,N
2514,1988.04.15.b,15-Apr-88,1988,USA,"Waihe'e, Maui",,M,,Y
2515,1988.04.14.b,14-Apr-88,1988,USA,"Singer Island, Riviera Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,14,N
2516,1988.04.14.a,14-Apr-88,1988,USA,"Singer Island, Riviera Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,,N
2517,1988.04.10,10-Apr-88,1988,SOUTH AFRICA,La Lucia,,F,,Y
2518,1988.03.31,31-Mar-88,1988,USA,"Singer Island, Riviera Beach, Palm Beach County",,F,30,N
2519,1988.03.25,25-Mar-88,1988,USA,"Running Waters Beach, Ninini Point, Kaua'i",Swimming/Surfing/Boogie Boarding,M,,N
2520,1988.03.16,16-Mar-88,1988,SOUTH AFRICA,Isipingo,Swimming/Surfing/Boogie Boarding,M,17,N
2521,1988.03.14,14-Mar-88,1988,REUNION,Pic du Diable,Swimming/Surfing/Boogie Boarding,M,,N
2522,1988.02.15, 15-Feb-1988,1988,SOUTH AFRICA,"Brighton Beach, Durban",,Unknown,,N
2523,1988.02.14,14-Feb-88,1988,SOUTH AFRICA,Nahoon,Swimming/Surfing/Boogie Boarding,M,20,N
2524,1988.02.13,13-Feb-88,1988,SOUTH AFRICA,Mtunzini,,F,15,N
2525,1988.02.12,12-Feb-88,1988,AUSTRALIA,18 km west of Bunbury,,Unknown,,N
2526,1988.02.02,02-Feb-88,1988,FIJI,,Diving/Scuba Diving/Freediving,M,22,N
2527,1988.01.27,27-Jan-88,1988,SOUTH AFRICA,Durban,Swimming/Surfing/Boogie Boarding,M,22,N
2528,1988.01.21,21-Jan-88,1988,AUSTRALIA,,,M,,Y
2529,1988.01.14,14-Jan-88,1988,USA,,Fishing/Spearfishing,M,,N
2530,1988.01.06,06-Jan-88,1988,SOUTH AFRICA,Struisbaai,,M,33,N
2531,1988.01.05.R,Reported      05-Jan-1988,1988,SOUTH AFRICA,Great Brak River,,Unknown,,N
2532,1988.00.00.c,1988,1988,AUSTRALIA,Sydney,Swimming/Surfing/Boogie Boarding,M,12,N
2533,1987.12.20,20-Dec-87,1987,PHILIPPINES,Off Manila,,Unknown,,Y
2534,1987.12.17,17-Dec-87,1987,USA,"Palm Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,16,N
2535,1987.12.13,13-Dec-87,1987,AUSTRALIA,Shoalhaven,,F,16 to 18,Y
2536,1987.11.21,21-Nov-87,1987,USA,"North of Jupiter Inlet, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,15,N
2537,1987.11.00,Nov-87,1987,SOUTH AFRICA,St. Lucia,,M,,N
2538,1987.10.26,26-Oct-87,1987,USA,"Davenport Light, San Mateo County",Swimming/Surfing/Boogie Boarding,M,20,N
2539,1987.10.25,25-Oct-87,1987,SOUTH AFRICA,Richards Bay,Swimming/Surfing/Boogie Boarding,M,14,N
2540,1987.10.11,11-Oct-87,1987,SOUTH AFRICA,"Seal Island, False Bay",Fishing/Spearfishing,M,21,N
2541,1987.10.06,06-Oct-87,1987,DOMINICAN REPUBLIC,Mona Passage,,Unknown,,Y
2542,1987.09.18,18-Sep-87,1987,AUSTRALIA,"Merino Rocks, Adelaide",,M,47,Y
2543,1987.09.13,13-Sep-87,1987,SOUTH AFRICA,Still Bay,Swimming/Surfing/Boogie Boarding,M,24,N
2544,1987.08.20,20-Aug-87,1987,USA,"Satellite  Beach, Brevard County",Standing/Wading/Walking,M,12,N
2545,1987.08.15,15-Aug-87,1987,USA,"Tunitas Beach, San Mateo County",Swimming/Surfing/Boogie Boarding,M,40,N
2546,1987.07.21,21-Jul-87,1987,USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,27,N
2547,1987.07.12.b,12-Jul-87,1987,USA,"Mustang Island, near Port Aransas",Swimming/Surfing/Boogie Boarding,F,32,N
2548,1987.07.12.a,12-Jul-87,1987,USA,"Mustang Island, near Port Aransas",Standing/Wading/Walking,F,16,N
2549,1987.07.11,11-Jul-87,1987,USA,Winyah Bay,,Unknown,,N
2550,1987.07.09,09-Jul-87,1987,BAHAMAS,Sampson Cay,Diving/Scuba Diving/Freediving,M,35,N
2551,1987.07.00,Jul-87,1987,BAHAMAS,,Fishing/Spearfishing,M,,N
2552,1987.06.13,13-Jun-87,1987,USA,"Nest Key, Monroe County",Fishing/Spearfishing,M,,N
2553,1987.05.25,25-May-87,1987,USA,"Myrtle Beach, Horry County",,M,12,N
2554,1987.05.08,08-May-87,1987,USA,"St Augustine, St. Johns County",Swimming/Surfing/Boogie Boarding,M,,N
2555,1987.05.06,06-May-87,1987,AUSTRALIA,,Fishing/Spearfishing,M,34,N
2556,1987.04.19,19-Apr-87,1987,SOUTH AFRICA,Port Shepstone,Fishing/Spearfishing,M,,Y
2557,1987.04.18,18-Apr-87,1987,USA,"Mustang Island, near Port Aransas",Swimming/Surfing/Boogie Boarding,F,16,N
2558,1987.04.15,15-Apr-87,1987,USA,"Kailua-Kona, Hawai'i",,M,,Y
2559,1987.04.01,01-Apr-87,1987,VANUATU,Vao Island,Swimming/Surfing/Boogie Boarding,M,8,Y
2560,1987.03.30.b,30-Mar-87,1987,AUSTRALIA,Fourth Beach / Twilgth Beach,Swimming/Surfing/Boogie Boarding,M,18,N
2561,1987.03.30.a,30-Mar-87,1987,SOUTH AFRICA,Muizenberg,,Unknown,,N
2562,1987.02.28,28-Feb-87,1987,USA,"Singer Island, Riviera Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,,N
2563,1987.02.19,19-Feb-87,1987,SOLOMON ISLANDS,,,Unknown,,Y
2564,1987.01.28,28-Jan-87,1987,SOUTH AFRICA,Eerste River,Fishing/Spearfishing,M,30,N
2565,1987.01.06,06-Jan-87,1987,AUSTRALIA,Lizard Island,Swimming/Surfing/Boogie Boarding,M,37,N
2566,1987.00.00.b,1987,1987,MONTENEGRO,"Mogren Beach, Budva",,M,,Y
2567,1987.00.00.a,1987,1987,ITALY,"Marciana Marina, Isola d'Elba",,M,,N
2568,1986.12.31,31-Dec-86,1986,SOUTH AFRICA,Agulhas Banks,Fishing/Spearfishing,M,,N
2569,1986.12.22,22-Dec-86,1986,SOUTH AFRICA,SAOU Strand,Swimming/Surfing/Boogie Boarding,M,21,Y
2570,1986.12.11,11-Dec-86,1986,USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,40,N
2571,1986.12.06.b,06-Dec-86,1986,BAHAMAS,Off Cay Sal  Banks,,M,37,N
2572,1986.12.06.a,06-Dec-86,1986,USA,"Monastery Beach, Carmel River State Park, Monterey Peninsula, Monterey California",,M,27,N
2573,1986.12.04,04-Dec-86,1986,SOUTH AFRICA,Platbank,Fishing/Spearfishing,M,22,N
2574,1986.12.00,Dec-86,1986,NEW CALEDONIA,I'le Ouen,Fishing/Spearfishing,Unknown,,N
2575,1986.11.30,30-Nov-86,1986,USA,"Daytona Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,17,N
2576,1986.11.19,19-Nov-86,1986,USA,"Indiatlantic, Brevard County",Swimming/Surfing/Boogie Boarding,M,26,N
2577,1986.11.04,04-Nov-86,1986,USA,"Tiger Shores Beach, Martin County",Swimming/Surfing/Boogie Boarding,M,23,N
2578,1986.10.17,17-Oct-86,1986,SOUTH AFRICA,Umhlanga,,M,,N
2579,1986.10.03,03-Oct-86,1986,USA,"Sanibel Island, Lee County",Swimming/Surfing/Boogie Boarding,F,6,N
2580,1986.10.05,05-Oct-86,1986,SOUTH AFRICA,St. Michaels,,M,32,N
2581,1986.10.01,01-Oct-86,1986,AUSTRALIA,"Direction Island, Cocos Islands",,Unknown,,U
2582,1986.10.00,Oct-86,1986,USA,"Floridana Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,28,N
2583,1986.09.22.R,Reported 22-Sep-1986 ,1986,USA,"Pinellas Point, Tampa Bay",,Unknown,,N
2584,1986.09.00.b,Sep-86,1986,USA,"Ormond Beach / Daytona Beach, Volusia County",Swimming/Surfing/Boogie Boarding,Unknown,,N
2585,1986.09.00.a,Sep-86,1986,USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,Unknown,18,N
2586,1986.08.19,19-Aug-86,1986,USA,"Masonboro Inlet, New Hanover County",Swimming/Surfing/Boogie Boarding,Unknown,16,N
2587,1986.08.10,10-Aug-86,1986,SOUTH AFRICA,Reef on seaward side of Geyser Island,Fishing/Spearfishing,M,35,N
2588,1986.08.03,03-Aug-86,1986,AUSTRALIA,"North Head, Sydney Harbour",Diving/Scuba Diving/Freediving,F,,N
2589,1986.08.00,Aug-86,1986,FRANCE,Gruissan,,Unknown,,N
2590,1986.07.26,26-Jul-86,1986,AUSTRALIA,3 km west of Rottnest Island,Fishing/Spearfishing,Unknown,,N
2591,1986.07.09,09-Jul-86,1986,USA,"Myrtle Beach, Horry County",,M,8,N
2592,1986.07.00.a,Jul-86,1986,SOUTH AFRICA,LaMercy,Fishing/Spearfishing,M,26,N
2593,1986.05.18,18-May-86,1986,AUSTRALIA,"North Head, Sydney Harbour",Diving/Scuba Diving/Freediving,M,,N
2594,1986.05.15,15-May-86,1986,SOUTH KOREA,,,M,,Y
2595,1986.04.20,20-Apr-86,1986,USA,"Kaliiwi, Kauai",,M,,Y
2596,1986.04.00,Apr-86,1986,SPAIN,Lloret-de-Mar,Diving/Scuba Diving/Freediving,M,,N
2597,1986.03.18,18-Mar-86,1986,SPAIN,Tarifa ,Swimming/Surfing/Boogie Boarding,M,,N
2598,1986.03.15,15-Mar-86,1986,SOUTH AFRICA,"North Beach, Durban",Standing/Wading/Walking,M,26,N
2599,1986.03.05,05-Mar-86,1986,SOUTH AFRICA,"The Fence, King's Beach, Port Elizabeth",Swimming/Surfing/Boogie Boarding,M,23,N
2600,1986.02.18,18-Feb-86,1986,SOUTH AFRICA,East London,Swimming/Surfing/Boogie Boarding,M,21,N
2601,1986.02.17,17-Feb-86,1986,SOUTH AFRICA,Cape Recife,Swimming/Surfing/Boogie Boarding,M,,N
2602,1986.02.07,07-Feb-86,1986,SOUTH AFRICA,"King's Beach, Port Elizabeth",Swimming/Surfing/Boogie Boarding,M,46,N
2603,1986.02.06,06-Feb-86,1986,SOUTH AFRICA,Arniston,Fishing/Spearfishing,M,29,N
2604,1986.02.01,01-Feb-86,1986,AUSTRALIA,Jan Juc Beach,Swimming/Surfing/Boogie Boarding,M,29,N
2605,1986.01.12,12-Jan-86,1986,USA,"Singer Island, Riviera Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,22,N
2606,1986.00.00,1986,1986,USA,"Linda Mar Beach, Pedro Point, San Mateo County",Swimming/Surfing/Boogie Boarding,M,16,N
2607,1985.12.22,22-Dec-85,1985,SOUTH AFRICA,Garvies Beach,Swimming/Surfing/Boogie Boarding,M,,N
2608,1985.12.10,10-Dec-85,1985,USA,New Hanover County,,M,,N
2609,1985.11.11,11-Nov-85,1985,AUSTRALIA,Gladstone,Fishing/Spearfishing,M,,N
2610,1985.11.05,05-Nov-85,1985,USA,"Southeast Farallon Island, Farallon Islands",,Unknown,,N
2611,1985.11.03,03-Nov-85,1985,USA,5 miles south of Redondo Beach,Fishing/Spearfishing,M,24,N
2612,1985.10.24,24-Oct-85,1985,SOUTH AFRICA,East London,Swimming/Surfing/Boogie Boarding,M,22,N
2613,1985.10.22,22-Oct-85,1985,USA,"Point Conception, Santa Barbara County",,M,46,N
2614,1985.10.18,18-Oct-85,1985,USA,"Little Glass Shacks, Princeville, Kaua'i",Swimming/Surfing/Boogie Boarding,M,33,N
2615,1985.10.12,12-Oct-85,1985,USA,"Barbers Point, O'ahu",,M,24,N
2616,1985.10.05,  05-Oct-1985,1985,USA,"Gulf Shores, Baldwin County",Fishing/Spearfishing,M,,N
2617,1985.09.28,28-Sep-85,1985,USA,"Elephant Rock near Tomales Point, Marin County",,M,,N
2618,1985.09.08.b,08-Sep-85,1985,SOUTH AFRICA,T.O. Strand,Swimming/Surfing/Boogie Boarding,M,21,Y
